convergencia,factorial_A,factorial_B,factorial_C,mean_opinion_final,motor,param,polarization_index,seed,std_opinion_final,tiempo_ms,value
False,,,,0.337225,simulator,ruido_base,0.096367,46,0.096367,41.7,0.05
False,,,,0.102027,simulator,ruido_base,0.123432,42,0.123432,43.6,0.1
False,,,,0.678911,simulator,ruido_base,0.083254,43,0.083254,42.3,0.1
False,,,,0.43808,simulator,ruido_base,0.291437,44,0.291437,42.7,0.1
False,,,,0.064703,simulator,ruido_base,0.084655,45,0.084655,42.9,0.1
False,,,,0.410013,simulator,ruido_base,0.129633,46,0.129633,42.8,0.1
False,,,,0.123441,simulator,ruido_base,0.153227,42,0.153227,43.2,0.15000000000000002
False,,,,0.619438,simulator,ruido_base,0.101732,43,0.101732,42.5,0.15000000000000002
False,,,,0.541021,simulator,ruido_base,0.331215,44,0.331215,42.1,0.15000000000000002
False,,,,0.058067,simulator,ruido_base,0.110434,45,0.110434,42.5,0.15000000000000002
False,,,,0.488051,simulator,ruido_base,0.167609,46,0.167609,43.4,0.15000000000000002
False,,,,0.146521,simulator,ruido_base,0.181604,42,0.181604,42.9,0.2
False,,,,0.538261,simulator,ruido_base,0.123003,43,0.123003,42.8,0.2
False,,,,0.594741,simulator,ruido_base,0.351464,44,0.351464,42.3,0.2
False,,,,0.067887,simulator,ruido_base,0.13367,45,0.13367,42.6,0.2
False,,,,0.567397,simulator,ruido_base,0.241878,46,0.241878,41.9,0.2
False,,,,0.169602,simulator,ruido_base,0.209993,42,0.209993,40.8,0.25
False,,,,0.486854,simulator,ruido_base,0.146642,43,0.146642,43.1,0.25
False,,,,0.617156,simulator,ruido_base,0.342615,44,0.342615,41.7,0.25
False,,,,0.079374,simulator,ruido_base,0.158228,45,0.158228,42.1,0.25
False,,,,0.600304,simulator,ruido_base,0.235499,46,0.235499,41.2,0.25
False,,,,0.192682,simulator,ruido_base,0.238389,42,0.238389,42.3,0.30000000000000004
False,,,,0.43577,simulator,ruido_base,0.171328,43,0.171328,41.8,0.30000000000000004
False,,,,0.637768,simulator,ruido_base,0.335856,44,0.335856,40.4,0.30000000000000004
False,,,,0.090467,simulator,ruido_base,0.180933,45,0.180933,40.1,0.30000000000000004
False,,,,0.639879,simulator,ruido_base,0.228475,46,0.228475,40.8,0.30000000000000004
False,,,,0.215704,simulator,ruido_base,0.266717,42,0.266717,40.6,0.35000000000000003
False,,,,0.348743,simulator,ruido_base,0.202609,43,0.202609,41.2,0.35000000000000003
False,,,,0.658379,simulator,ruido_base,0.330898,44,0.330898,40.2,0.35000000000000003
False,,,,0.101767,simulator,ruido_base,0.203535,45,0.203535,40.8,0.35000000000000003
False,,,,0.696609,simulator,ruido_base,0.217193,46,0.217193,40.4,0.35000000000000003
False,,,,0.250092,simulator,ruido_base,0.311664,42,0.311664,41.0,0.4
False,,,,0.310136,simulator,ruido_base,0.223308,43,0.223308,41.4,0.4
False,,,,0.67899,simulator,ruido_base,0.327822,44,0.327822,40.1,0.4
False,,,,0.113068,simulator,ruido_base,0.226136,45,0.226136,41.4,0.4
False,,,,0.697577,simulator,ruido_base,0.232255,46,0.232255,40.6,0.4
False,,,,0.273103,simulator,ruido_base,0.339907,42,0.339907,41.5,0.45
False,,,,0.289619,simulator,ruido_base,0.242538,43,0.242538,40.5,0.45
False,,,,0.699602,simulator,ruido_base,0.326682,44,0.326682,40.4,0.45
False,,,,0.124369,simulator,ruido_base,0.248738,45,0.248738,41.6,0.45
False,,,,0.735137,simulator,ruido_base,0.235149,46,0.235149,39.3,0.45
False,,,,0.296114,simulator,ruido_base,0.368163,42,0.368163,42.1,0.5
False,,,,0.294365,simulator,ruido_base,0.262626,43,0.262626,41.7,0.5
False,,,,0.720213,simulator,ruido_base,0.327498,44,0.327498,41.1,0.5
False,,,,0.13567,simulator,ruido_base,0.271339,45,0.271339,42.0,0.5
False,,,,0.761564,simulator,ruido_base,0.240853,46,0.240853,40.2,0.5
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,41.2,0.05
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,41.5,0.05
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,39.5,0.05
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,41.3,0.05
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,41.1,0.05
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,43.3,0.1
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,42.6,0.1
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,41.3,0.1
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,42.7,0.1
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,42.0,0.1
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,42.8,0.15000000000000002
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,42.7,0.15000000000000002
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,41.2,0.15000000000000002
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,42.9,0.15000000000000002
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,41.6,0.15000000000000002
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,42.8,0.2
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,42.9,0.2
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,40.9,0.2
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,42.9,0.2
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,41.6,0.2
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,42.9,0.25
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,42.7,0.25
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,41.3,0.25
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,42.4,0.25
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,41.1,0.25
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,41.4,0.3
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,41.7,0.3
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,40.1,0.3
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,41.4,0.3
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,39.7,0.3
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,40.8,0.35000000000000003
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,41.3,0.35000000000000003
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,40.1,0.35000000000000003
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,41.1,0.35000000000000003
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,40.2,0.35000000000000003
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,41.2,0.4
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,40.8,0.4
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,40.5,0.4
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,42.2,0.4
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,41.4,0.4
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,42.6,0.45
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,42.7,0.45
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,40.9,0.45
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,42.8,0.45
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,41.7,0.45
False,,,,0.130639,simulator,hk_epsilon,0.07193,42,0.07193,42.6,0.5
False,,,,0.765001,simulator,hk_epsilon,0.050864,43,0.050864,42.8,0.5
False,,,,0.306937,simulator,hk_epsilon,0.171178,44,0.171178,40.7,0.5
False,,,,0.136192,simulator,hk_epsilon,0.055105,45,0.055105,41.6,0.5
False,,,,0.314088,simulator,hk_epsilon,0.082067,46,0.082067,40.4,0.5
False,,,,0.125429,simulator,homofilia_tasa,0.071866,42,0.071866,41.3,0.0
False,,,,0.756428,simulator,homofilia_tasa,0.05209,43,0.05209,40.6,0.0
False,,,,0.30509,simulator,homofilia_tasa,0.170706,44,0.170706,40.8,0.0
False,,,,0.147229,simulator,homofilia_tasa,0.055169,45,0.055169,41.0,0.0
False,,,,0.306582,simulator,homofilia_tasa,0.081412,46,0.081412,40.6,0.0
False,,,,0.131847,simulator,homofilia_tasa,0.071945,42,0.071945,41.6,0.1
False,,,,0.767678,simulator,homofilia_tasa,0.050777,43,0.050777,41.1,0.1
False,,,,0.307553,simulator,homofilia_tasa,0.171335,44,0.171335,39.9,0.1
False,,,,0.133657,simulator,homofilia_tasa,0.055092,45,0.055092,43.7,0.1
False,,,,0.315821,simulator,homofilia_tasa,0.082218,46,0.082218,42.1,0.1
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,42.4,0.2
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,42.8,0.2
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,41.4,0.2
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,42.8,0.2
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,41.9,0.2
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,42.5,0.30000000000000004
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,42.6,0.30000000000000004
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,40.8,0.30000000000000004
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,43.0,0.30000000000000004
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,41.7,0.30000000000000004
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,41.7,0.4
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,41.7,0.4
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,40.3,0.4
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,41.8,0.4
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,41.3,0.4
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,41.5,0.5
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,41.3,0.5
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,40.0,0.5
False,,,,0.210679,simulator,homofilia_tasa,0.063679,45,0.063679,41.5,0.5
False,,,,0.3216,simulator,homofilia_tasa,0.082725,46,0.082725,40.4,0.5
False,,,,0.135888,simulator,homofilia_tasa,0.071995,42,0.071995,41.4,0.6000000000000001
False,,,,0.746324,simulator,homofilia_tasa,0.051226,43,0.051226,41.7,0.6000000000000001
False,,,,0.310063,simulator,homofilia_tasa,0.171976,44,0.171976,40.9,0.6000000000000001
